Nº registro,Completo Parte,Edificio / Parte,Tipo vía,Calle,Portal,Piso,Municipio,Localidad,Código postal,Provincia,Zona climática,Año construcción,Normativa,Datos catastrales,Tipo edificio,Alcance edificio,Fecha inicio de vigencia,Fecha fin de vigencia,Superficie habitable,Superficie calefactada,Superficie refrigerada,Consumo anual,Emisiones anuales,Calificación energética,Calificación energ. emisiones,Más datos,Cod. calle,Cod. portal,Cod. provincia,Cod. municipio,Cod. localidad,Nº viviendas,Comunidad autónoma,Procedimiento,Cal. Grado Centralizacion,Cal. Equipo Principal,Cal. Tipo Energia,ACS Grado Centralizacion,ACS Equipo Principal,ACS Tipo Energia
CEE/CAPV/2018/00108048/E,1,EDIFICIO 1 AVENIDA NAVARRA 24,Etorbidea/Avenida,Navarra,24,EDIFICIO 1,Oyón-Oion,Oyón-Oion,1320.0,Araba/Álava,D1,1913,Anterior NBE-CT-79,43020295000001,Vivienda,Existente,2017-12-27,2027-12-27,255.0,100,0,424.4,91.3,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108048-E,130104300000370.0,80104300002278.0,1,43,10104300000048,2.0,Euskadi,CE3X,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2018/00108050/E,0,VIVIENDA,Plaza/Plaza,Alberto Acero,1,4C,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1977,Anterior NBE-CT-79,360400930000010015LQ,Vivienda,Existente,2017-12-28,2027-12-28,90.0,100,0,276.3,58.5,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108050-E,130103600001100.0,80103600000059.0,1,36,10103600000016,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108066/E,1,DOCTOR FLEMING 1,Kalea/Calle,Doctor Fleming,1,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1963,1963,36040031000001,Vivienda,Existente,2017-12-29,2027-12-29,564.0,100,0,248.9,51.4,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108066-E,130103600000150.0,80103600001349.0,1,36,10103600000016,10.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108142/E,0,BEOTEGI 1,Entitatea/Entidad,Beotegi,1,"poligono 6, parcela 322",Ayala/Aiara,Beotegi | Diseminado,1477.0,Araba/Álava,C1,1990,Anterior NBE-CT-79,100603220000010001EV,Vivienda,Existente,2017-11-22,2027-11-22,134.0,100,0,634.0,107.4,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108142-E,130101000001050.0,80103600005113.0,1,10,10101000000047,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Electricidad,Equipos individuales,Caldera estandar,Electricidad
CEE/CAPV/2018/00108217/E,1,DOCTOR FLEMING 3,Kalea/Calle,Doctor Fleming,3,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1963,NBE-CT-79,36040031000002,Vivienda,Existente,2017-12-29,2027-12-29,518.0,100,0,261.3,51.4,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108217-E,130103600000150.0,80103600001352.0,1,36,10103600000016,10.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108219/E,1,EDIFICIO 1 SAN BARTOLOME 12,Kalea/Calle,San Bartolomé,12,UNIFAMILIAR,Yécora/Iekora,Yécora/Iekora,1322.0,Araba/Álava,D1,1940,Anterior NBE-CT-79,60020092000001,Vivienda,Existente,2017-12-29,2027-12-29,109.0,100,0,350.5,60.7,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108219-E,130106000000120.0,80106000001030.0,1,60,10106000000016,1.0,Euskadi,CE3X,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)"
CEE/CAPV/2018/00108337/E,0,Vivienda en la calle Zabaleko 10,Kalea/Calle,Zabaleko,10,3º C,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1970,NBE-CT-79,Vivienda en la calle Zaba,Vivienda,Existente,2018-01-01,2028-01-01,99.0,100,0,165.6,35.1,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108337-E,130100200000770.0,80100200006802.0,1,2,10100200000023,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108338/E,0,CALLE URRUCHITE nº 9,Kalea/Calle,Urruchite,9,UNIFAMILIAR,Ribera Baja/Erriberabeitia,Ribabellosa,1213.0,Araba/Álava,D1,1998,NBE-CT-79,47-1-356-1-1,Vivienda,Existente,2017-12-29,2027-12-29,0.0,0,0,237.5,50.3,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108338-E,130104700000580.0,80104700004580.0,1,47,10104700000052,1.0,Euskadi,CE3X,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2018/00108476/E,1,EDIFICIO 1 AVENIDA DIPUTACION 33,Etorbidea/Avenida,Diputación,33,UNIFAMILIAR,Oyón-Oion,Oyón-Oion,1320.0,Araba/Álava,D1,1955,Anterior NBE-CT-79,43031480000001,Vivienda,Existente,2018-01-02,2028-01-02,162.0,100,0,537.4,141.3,G,G,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108476-E,130104300000440.0,80104300003034.0,1,43,10104300000048,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,Caldera estandar,Gasóleo
CEE/CAPV/2018/00108477/E,0,VIVIENDA INDIVIDUAL,Kalea/Calle,Rua Mayor de Peralta,6,PRIMERO (mano única),Laguardia,Laguardia,1300.0,Araba/Álava,D1,2000,NBE-CT-79,310100290000010001AU,Vivienda,Existente,2018-01-03,2028-01-03,92.0,100,0,325.2,55.1,G,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2018-00108477-E,130103100000230.0,80103100001561.0,1,31,10103100000043,1.0,Euskadi,CE3Xv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Equipos individuales,Termo,Electricidad
